,open,high,low,close,volume
2020-03-18 22:30:00,223.1124,224.0421,221.9132,223.8096,226594.0
2020-03-18 22:45:00,223.8561,230.0568,223.0195,228.1046,565245.0
2020-03-18 23:00:00,228.1046,228.4578,225.5295,226.2453,342417.0
2020-03-18 23:15:00,226.1244,228.8111,226.1244,227.7606,151588.0
2020-03-18 23:30:00,227.8536,230.2241,227.8536,230.0847,293324.0
2020-03-18 23:45:00,230.0568,230.1312,228.6809,228.6809,298856.0
2020-03-19 08:00:00,223.3262,223.3262,219.4032,221.0022,70394.0
2020-03-19 08:15:00,221.8946,224.8322,221.532,224.7951,42597.0
2020-03-19 08:30:00,224.8694,226.0594,224.3395,224.9624,236820.0
2020-03-19 08:45:00,224.5069,225.3621,223.4564,225.3343,50544.0
2020-03-19 09:00:00,225.1111,225.7991,223.6702,225.0182,46130.0
2020-03-19 09:15:00,225.1297,225.1855,222.2943,222.4338,66968.0
2020-03-19 09:30:00,222.4431,223.5958,221.7737,223.475,43949.0
2020-03-19 09:45:00,223.4564,223.726,222.5082,222.5082,19186.0
2020-03-19 10:00:00,222.3966,222.3966,220.2027,220.3793,118826.0
2020-03-19 10:15:00,220.2213,221.0765,220.1004,221.0765,78634.0
2020-03-19 10:30:00,221.2346,222.1828,220.8441,221.6343,49614.0
2020-03-19 10:45:00,221.532,221.5878,220.8348,220.8813,69417.0
2020-03-19 11:00:00,221.2532,222.7034,221.0858,222.0898,260501.0
2020-03-19 11:15:00,222.0898,222.5268,221.1323,221.2253,146553.0
2020-03-19 11:30:00,221.0858,221.2253,218.4921,219.1801,347406.0
2020-03-19 11:45:00,218.9848,220.5466,218.5479,219.022,356573.0
2020-03-19 12:00:00,222.4616,224.0607,213.1746,219.3939,483519.0
2020-03-19 12:15:00,219.3939,219.4125,217.9065,218.362,491765.0
